danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,uri,duration_ms,time_signature,num_artists,track_name,genero,artist_name
0.492,0.824,4,-5.194,0,0.0677,0.218,0.0,0.98,0.363,124.156,7a0yeeNookEFR7YjYAhyrf,spotify:track:7a0yeeNookEFR7YjYAhyrf,268840,4,1,Perro Amor Explota - Live In Buenos Aires / 2001,"['argentine rock', 'latin alternative', 'latin rock', 'rock en espanol', 'rock nacional', 'ska argentino']",Bersuit Vergarabat
0.772,0.762,6,-3.838,0,0.0245,0.119,0.0,0.0755,0.965,98.037,3o7JIm9joSI1pFRPKYGOxw,spotify:track:3o7JIm9joSI1pFRPKYGOxw,208533,4,1,El Viejo De Arriba,"['argentine rock', 'latin alternative', 'latin rock', 'rock en espanol', 'rock nacional', 'ska argentino']",Bersuit Vergarabat
0.576,0.932,5,-2.677,0,0.0649,0.0603,0.0,0.053,0.778,96.028,7q6HXszBhfxTPHWOxw8ehb,spotify:track:7q6HXszBhfxTPHWOxw8ehb,245147,4,1,No Se Llama Amor,"['argentine rock', 'latin alternative', 'latin rock', 'rock en espanol', 'rock nacional']",Turf
0.593,0.838,2,-5.322,1,0.0367,0.000432,0.0153,0.257,0.249,103.994,2w8wIBE9r1OmP7EUrTaCTL,spotify:track:2w8wIBE9r1OmP7EUrTaCTL,180067,4,1,Brujería,"['argentine rock', 'latin alternative', 'latin rock', 'rock en espanol', 'rock nacional']",Los Tipitos
0.2,0.989,7,-3.35,0,0.0952,0.000855,0.000545,0.969,0.201,103.021,3KAzDoRRG9BFI5DJ5JA6T1,spotify:track:3KAzDoRRG9BFI5DJ5JA6T1,298187,4,1,No Me Arrepiento de Este Amor - En Vivo,"['argentine punk', 'argentine rock', 'latin alternative', 'latin rock', 'rock en espanol', 'ska argentino']",Attaque 77
0.771,0.852,8,-4.61,1,0.0406,0.336,1.81e-05,0.181,0.919,96.067,6Bj9aK0jTMmjUp1y4Z7SVz,spotify:track:6Bj9aK0jTMmjUp1y4Z7SVz,220813,4,1,No Me Arrepiento de Este Amor,"['argentine rock', 'cumbia villera', 'rock en espanol']",Gilda
0.662,0.813,11,-9.044,1,0.0425,0.278,0.000563,0.0587,0.96,100.855,2dfnK7rHRibkQR93iZn7Z2,spotify:track:2dfnK7rHRibkQR93iZn7Z2,243920,4,1,La Ventanita,['cumbia villera'],Grupo Sombras
0.773,0.918,9,-3.443,0,0.0461,0.236,9.3e-06,0.053,0.921,99.966,4i5NFoPWqTqlsR4WyoVFtB,spotify:track:4i5NFoPWqTqlsR4WyoVFtB,183267,4,1,Una Ráfaga de Amor,"['cumbia chilena', 'cumbia villera']",Rafaga
0.747,0.907,10,-1.921,1,0.0515,0.316,0.0,0.0879,0.757,98.005,3LNZSTiwQYL7BnTfHvIOII,spotify:track:3LNZSTiwQYL7BnTfHvIOII,240853,4,1,Una Cerveza,"['cumbia chilena', 'cumbia villera']",Rafaga
0.716,0.403,0,-6.325,1,0.0261,0.55,5.74e-06,0.22,0.685,96.163,2okIVxq5V9JDpATsGA3t36,spotify:track:2okIVxq5V9JDpATsGA3t36,218198,4,1,Rata De Dos Patas,"['grupera', 'ranchera']",Paquita La Del Barrio
0.485,0.791,10,-7.719,0,0.0358,0.00433,0.0,0.132,0.431,122.08,5O5PY5HJNPxD7KyqU0SEhH,spotify:track:5O5PY5HJNPxD7KyqU0SEhH,376584,4,1,Mujer Amante,"['argentine heavy metal', 'argentine rock', 'latin metal', 'rock en espanol', 'rock urbano mexicano']",Rata Blanca
0.714,0.735,4,-7.125,0,0.0306,0.176,0.000622,0.115,0.68,123.57,6Pur3hWy6Nzc27ilmsp5HA,spotify:track:6Pur3hWy6Nzc27ilmsp5HA,222227,4,1,Lamento Boliviano,"['argentine rock', 'latin', 'latin alternative', 'latin pop', 'latin rock', 'mexican pop', 'rock en espanol', 'ska argentino']",Los Enanitos Verdes
0.724,0.856,8,-6.119,0,0.0283,0.0653,1.85e-06,0.354,0.891,129.794,1qvY1z3Wm3sAYeHfPTnrbI,spotify:track:1qvY1z3Wm3sAYeHfPTnrbI,161800,4,1,La Muralla Verde,"['argentine rock', 'latin', 'latin alternative', 'latin pop', 'latin rock', 'mexican pop', 'rock en espanol', 'ska argentino']",Los Enanitos Verdes
0.486,0.764,7,-4.195,1,0.0328,0.0679,0.0244,0.0642,0.387,114.729,2zogXcCqvKJwh3o67W3GG3,spotify:track:2zogXcCqvKJwh3o67W3GG3,259187,4,1,Arrancacorazones,"['argentine punk', 'argentine rock', 'latin alternative', 'latin rock', 'rock en espanol', 'ska argentino']",Attaque 77
0.596,0.83,1,-4.256,1,0.0353,0.0189,0.0,0.0429,0.607,126.565,2E2dLZK0gSTl6vjr53BfKM,spotify:track:2E2dLZK0gSTl6vjr53BfKM,266133,4,1,A Veces Vuelvo,"['argentine punk', 'argentine rock', 'latin alternative', 'latin rock', 'rock en espanol', 'rock nacional']",Catupecu Machu
0.557,0.942,11,-2.349,1,0.0307,0.00289,0.000822,0.365,0.427,122.072,7aqnWkjL494Hn9bxJZ2YBm,spotify:track:7aqnWkjL494Hn9bxJZ2YBm,303067,4,1,Aún Estás En Mis Sueños,"['argentine heavy metal', 'argentine rock', 'latin metal', 'rock en espanol', 'rock urbano mexicano']",Rata Blanca
0.172,0.952,4,-5.258,0,0.149,0.0152,7.22e-05,0.304,0.435,76.162,10K029y3u73hxEbL0Zgs7x,spotify:track:10K029y3u73hxEbL0Zgs7x,325667,4,1,La Leyenda Del Hada Y El Mago,"['argentine heavy metal', 'argentine rock', 'latin metal', 'rock en espanol', 'rock urbano mexicano']",Rata Blanca
