,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,uri,duration_ms,time_signature,num_artists,track_name,genero,artist_name
26,0.289,0.28,9,-15.335,1,0.0433,0.8740000000000001,0.00443,0.124,0.0391,124.835,0aL27vskbMpwsMGUkHm3Zf,spotify:track:0aL27vskbMpwsMGUkHm3Zf,215773,3,1,Sin Rumbo,67,Arca
27,0.499,0.648,7,-5.812,1,0.0331,0.723,0.0,0.5760000000000001,0.46399999999999997,88.14,2kfSFdq2h0xLXq01em1zc7,spotify:track:2kfSFdq2h0xLXq01em1zc7,219107,4,1,La Gata Bajo la Lluvia,17,Rocío Dúrcal
28,0.499,0.648,7,-5.812,1,0.0331,0.723,0.0,0.5760000000000001,0.46399999999999997,88.14,2kfSFdq2h0xLXq01em1zc7,spotify:track:2kfSFdq2h0xLXq01em1zc7,219107,4,1,La Gata Bajo la Lluvia,19,Rocío Dúrcal
29,0.499,0.648,7,-5.812,1,0.0331,0.723,0.0,0.5760000000000001,0.46399999999999997,88.14,2kfSFdq2h0xLXq01em1zc7,spotify:track:2kfSFdq2h0xLXq01em1zc7,219107,4,1,La Gata Bajo la Lluvia,61,Rocío Dúrcal
30,0.499,0.648,7,-5.812,1,0.0331,0.723,0.0,0.5760000000000001,0.46399999999999997,88.14,2kfSFdq2h0xLXq01em1zc7,spotify:track:2kfSFdq2h0xLXq01em1zc7,219107,4,1,La Gata Bajo la Lluvia,69,Rocío Dúrcal
31,0.499,0.648,7,-5.812,1,0.0331,0.723,0.0,0.5760000000000001,0.46399999999999997,88.14,2kfSFdq2h0xLXq01em1zc7,spotify:track:2kfSFdq2h0xLXq01em1zc7,219107,4,1,La Gata Bajo la Lluvia,77,Rocío Dúrcal
32,0.499,0.648,7,-5.812,1,0.0331,0.723,0.0,0.5760000000000001,0.46399999999999997,88.14,2kfSFdq2h0xLXq01em1zc7,spotify:track:2kfSFdq2h0xLXq01em1zc7,219107,4,1,La Gata Bajo la Lluvia,113,Rocío Dúrcal
33,0.528,0.38299999999999995,2,-11.17,1,0.0258,0.376,0.0,0.11,0.46,89.089,5ySxlyvySBhIEvoO2xx7uT,spotify:track:5ySxlyvySBhIEvoO2xx7uT,328320,4,1,Querida,19,Juan Gabriel
34,0.528,0.38299999999999995,2,-11.17,1,0.0258,0.376,0.0,0.11,0.46,89.089,5ySxlyvySBhIEvoO2xx7uT,spotify:track:5ySxlyvySBhIEvoO2xx7uT,328320,4,1,Querida,69,Juan Gabriel
35,0.528,0.38299999999999995,2,-11.17,1,0.0258,0.376,0.0,0.11,0.46,89.089,5ySxlyvySBhIEvoO2xx7uT,spotify:track:5ySxlyvySBhIEvoO2xx7uT,328320,4,1,Querida,77,Juan Gabriel
36,0.33,0.574,4,-11.642999999999999,0,0.0338,0.000268,0.0,0.10400000000000001,0.193,99.258,4c3ix86CIDIVzXBTRUNwBd,spotify:track:4c3ix86CIDIVzXBTRUNwBd,298160,4,1,Otro Día para Ser,3,Hermetica
37,0.33,0.574,4,-11.642999999999999,0,0.0338,0.000268,0.0,0.10400000000000001,0.193,99.258,4c3ix86CIDIVzXBTRUNwBd,spotify:track:4c3ix86CIDIVzXBTRUNwBd,298160,4,1,Otro Día para Ser,7,Hermetica
38,0.33,0.574,4,-11.642999999999999,0,0.0338,0.000268,0.0,0.10400000000000001,0.193,99.258,4c3ix86CIDIVzXBTRUNwBd,spotify:track:4c3ix86CIDIVzXBTRUNwBd,298160,4,1,Otro Día para Ser,10,Hermetica
39,0.33,0.574,4,-11.642999999999999,0,0.0338,0.000268,0.0,0.10400000000000001,0.193,99.258,4c3ix86CIDIVzXBTRUNwBd,spotify:track:4c3ix86CIDIVzXBTRUNwBd,298160,4,1,Otro Día para Ser,76,Hermetica
