,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,valence,tempo,duration_ms,time_signature,track_name,artist_name,most_common_genre,min_lyrics_sentiment,max_lyrics_sentiment,avg_lyrics_sentiment
27,0.747,0.907,10,-1.921,1,0.0515,0.316,0.0,0.757,98.005,240853,4,Una Cerveza,Rafaga,cumbia villera,0.5048999786376953,0.0,0.3998
28,0.716,0.40299999999999997,0,-6.325,1,0.0261,0.55,5.74e-06,0.685,96.163,218198,4,Rata De Dos Patas,Paquita La Del Barrio,grupera,0.5063999891281128,0.0,0.4192
29,0.485,0.7909999999999999,10,-7.718999999999999,0,0.0358,0.00433,0.0,0.431,122.08,376584,4,Mujer Amante,Rata Blanca,argentine rock,0.8517000079154968,0.0008999999845400453,0.4852
30,0.7140000000000001,0.735,4,-7.125,0,0.0306,0.17600000000000002,0.0006219999999999999,0.68,123.57,222227,4,Lamento Boliviano,Los Enanitos Verdes,argentine rock,0.7408000230789185,0.001500000013038516,0.4662
31,0.7240000000000001,0.856,8,-6.119,0,0.0283,0.0653,1.85e-06,0.8909999999999999,129.79399999999998,161800,4,La Muralla Verde,Los Enanitos Verdes,argentine rock,0.527899980545044,0.004600000102072954,0.426
32,0.486,0.764,7,-4.195,1,0.0328,0.0679,0.0244,0.387,114.729,259187,4,Arrancacorazones,Attaque 77,argentine rock,0.6668000221252441,0.039000000804662704,0.4856
33,0.596,0.83,1,-4.256,1,0.0353,0.0189,0.0,0.607,126.565,266133,4,A Veces Vuelvo,Catupecu Machu,argentine rock,0.5521000027656555,0.006800000090152025,0.3923
34,0.557,0.9420000000000001,11,-2.349,1,0.0307,0.0028899999999999998,0.000822,0.42700000000000005,122.072,303067,4,Aún Estás En Mis Sueños,Rata Blanca,argentine rock,0.5047000050544739,0.5047000050544739,0.5047
35,0.172,0.9520000000000001,4,-5.257999999999999,0,0.149,0.0152,7.219999999999999e-05,0.435,76.16199999999999,325667,4,La Leyenda Del Hada Y El Mago,Rata Blanca,argentine rock,0.9214000105857849,0.0,0.4553
36,0.434,0.897,11,-4.845,0,0.0695,0.0124,4.22e-05,0.376,135.54,296751,4,Fiesta Pagana,Mägo de Oz,rock en espanol,0.907800018787384,0.0003000000142492354,0.4695
37,0.491,0.877,7,-3.758,1,0.0425,0.000259,0.0,0.8190000000000001,138.31,251681,4,Molinos De Viento,Mägo de Oz,rock en espanol,0.5724999904632568,9.999999747378752e-05,0.4424
38,0.449,0.535,1,-7.209,0,0.0338,0.677,8.25e-06,0.607,179.113,265733,3,Hijo de la Luna,Mecano,rock en espanol,0.901199996471405,0.009499999694526196,0.4817
39,0.555,0.738,4,-4.21,1,0.0278,0.0277,0.0,0.342,98.977,204947,4,Rebelde Agitador y Revolucionario,Callejeros,argentine rock,0.5047000050544739,0.5047000050544739,0.5047
40,0.47200000000000003,0.9059999999999999,4,-3.597,1,0.0578,0.0174,0.0,0.6459999999999999,156.866,267200,4,Sé Que No Sé,Callejeros,argentine rock,0.5047000050544739,0.5047000050544739,0.5047
41,0.321,0.85,9,-3.698,0,0.0429,0.155,0.0,0.828,184.265,212867,4,Algo Mejor Algo Peor,Callejeros,argentine rock,0.5047000050544739,0.5047000050544739,0.5047
42,0.4,0.379,7,-10.591,0,0.0265,0.8220000000000001,0.0357,0.375,94.257,193133,4,Soy rebelde,Jeanette,latin pop,0.5067999958992004,0.0,0.4287
43,0.7809999999999999,0.8540000000000001,9,-4.918,0,0.0564,0.0839,0.0,0.845,132.08100000000002,179583,4,Soy Sabalero,Los Palmeras,argentine rock,0.5047000050544739,0.5047000050544739,0.5047
44,0.779,0.9520000000000001,9,-2.475,1,0.05,0.0976,0.0,0.879,154.938,229251,4,Dale Vieja Dale,Ulises Bueno,cumbia villera,0.5047000050544739,0.5047000050544739,0.5047
45,0.614,0.7020000000000001,0,-10.145,1,0.0316,0.0759,0.0,0.851,147.98,354627,4,Ocho Cuarenta,Rodrigo,argentine rock,0.569599986076355,0.026799999177455902,0.5012
46,0.764,0.521,0,-7.731,1,0.0881,0.292,0.0,0.524,120.51,195267,4,Amor Salvaje,Chaqueño Palavecino,cumbia villera,0.5047000050544739,0.5047000050544739,0.5047
47,0.556,0.183,5,-9.929,0,0.0407,0.9390000000000001,1.88e-06,0.254,108.101,192893,4,No Soy de Aquí... Ni Soy de Allá,Jorge Cafrune,rock nacional,0.5047000050544739,0.5047000050544739,0.5047
48,0.49200000000000005,0.541,7,-9.524,1,0.11199999999999999,0.8320000000000001,0.0,0.77,121.935,174573,4,Cambalache,Enrique Santos Discépolo,nan,0.5047000050544739,0.5047000050544739,0.5047
49,0.765,0.297,8,-11.055,0,0.12300000000000001,0.9329999999999999,4.74e-06,0.401,128.215,193853,4,Si De Rabia Nomas,Jose Larralde,argentine rock,0.5047000050544739,0.5047000050544739,0.5047
