,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,uri,duration_ms,time_signature,num_artists,track_name,genero,artist_name,most_common_genre
1057,0.204,0.956,2,-3.187,1,0.116,0.000333,0.0,0.081,0.396,154.655,0bpmkGGOrzXHidXRBAv8Fx,spotify:track:0bpmkGGOrzXHidXRBAv8Fx,178333,4,1,1999,"['argentine heavy metal', 'argentine metal', 'argentine rock', 'latin alternative', 'latin metal', 'rock en espanol', 'rock nacional']",Almafuerte,argentine rock
1058,0.263,0.955,7,-4.585,1,0.0638,0.000567,0.0034,0.491,0.287,78.918,6LyA7ACKgmVyPfiuIwC5E0,spotify:track:6LyA7ACKgmVyPfiuIwC5E0,202678,4,1,La Máquina de Picar Carne - En Vivo,"['argentine heavy metal', 'argentine metal', 'argentine rock', 'latin alternative', 'latin metal', 'rock en espanol', 'rock nacional']",Almafuerte,argentine rock
1059,0.385,0.982,0,-2.329,1,0.0765,5.38e-05,0.000126,0.225,0.435,112.818,73weeDFpLQglmijqsa6D9a,spotify:track:73weeDFpLQglmijqsa6D9a,171733,4,1,Del Fumador,"['argentine heavy metal', 'argentine metal', 'argentine rock', 'latin alternative', 'latin metal', 'rock en espanol', 'rock nacional']",Almafuerte,argentine rock
1060,0.396,0.843,2,-3.474,1,0.035,0.00304,0.0,0.0771,0.519,88.048,7LxqzAvbSTkSWLU9xXHhUV,spotify:track:7LxqzAvbSTkSWLU9xXHhUV,265427,4,1,Allí En San Juan,"['argentine heavy metal', 'argentine metal', 'argentine rock', 'latin alternative', 'latin metal', 'rock en espanol', 'rock nacional']",Almafuerte,argentine rock
1061,0.388,0.86,1,-7.221,1,0.0781,8.2e-05,0.0,0.088,0.535,145.323,4WkkfAg6p7YF9vY9EG5aPE,spotify:track:4WkkfAg6p7YF9vY9EG5aPE,136893,4,1,Desencuentro,"['argentine heavy metal', 'argentine metal', 'argentine rock', 'latin alternative', 'latin metal', 'rock en espanol', 'rock nacional']",Almafuerte,argentine rock
1062,0.173,0.985,0,-5.528,1,0.0815,0.000196,0.142,0.65,0.474,160.692,7l6glc1SRrt6BAncgDPrPu,spotify:track:7l6glc1SRrt6BAncgDPrPu,202278,4,1,Debes Saberlo - En Vivo,"['argentine heavy metal', 'argentine metal', 'argentine rock', 'latin alternative', 'latin metal', 'rock en espanol', 'rock nacional']",Almafuerte,argentine rock
1063,0.235,0.961,4,-3.42,0,0.0698,0.000452,0.000474,0.0675,0.415,84.54,1qjOwPQWt833z4saF3R1sJ,spotify:track:1qjOwPQWt833z4saF3R1sJ,178373,4,1,Por Nacer,"['argentine heavy metal', 'argentine metal', 'argentine rock', 'latin alternative', 'latin metal', 'rock en espanol', 'rock nacional']",Almafuerte,argentine rock
1064,0.333,0.937,9,-3.97,0,0.0476,0.00213,2.76e-05,0.343,0.549,108.256,6NwHKjXCwkc1KykXwkbrMG,spotify:track:6NwHKjXCwkc1KykXwkbrMG,248173,4,1,Cumpliendo Mi Destino,"['argentine heavy metal', 'argentine metal', 'argentine rock', 'latin alternative', 'latin metal', 'rock en espanol', 'rock nacional']",Almafuerte,argentine rock
1065,0.365,0.912,11,-5.877,0,0.0442,7.24e-05,0.000634,0.707,0.701,140.192,11f1KQMywElQqQn6naiKy4,spotify:track:11f1KQMywElQqQn6naiKy4,214533,4,2,Llegara la Paz,"['argentine heavy metal', 'argentine rock', 'latin alternative', 'latin metal', 'latin rock', 'rock en espanol', 'rock nacional']",Pappo,argentine rock
1066,0.434,0.93,4,-6.488,0,0.0772,8.34e-05,0.0175,0.642,0.351,124.95,3GioQPuzonz7MzF8sY2OyP,spotify:track:3GioQPuzonz7MzF8sY2OyP,245200,4,1,Atravesando Todo Limite,"['argentine heavy metal', 'argentine metal', 'argentine rock', 'latin alternative', 'latin metal', 'rock en espanol', 'rock nacional']",Almafuerte,argentine rock
1067,0.505,0.877,1,-6.531,0,0.113,4.94e-05,0.0,0.0443,0.409,152.422,2ur314gIaTe6Sc3i53rn3Z,spotify:track:2ur314gIaTe6Sc3i53rn3Z,124600,4,1,De los Pagos del Tiempo,"['argentine heavy metal', 'argentine metal', 'argentine rock', 'latin alternative', 'latin metal', 'rock en espanol', 'rock nacional']",Almafuerte,argentine rock
1068,0.521,0.88,4,-7.243,0,0.346,0.766,0.0,0.09,0.467,169.582,4KrEm4EJzjJJhtnjLOx2ph,spotify:track:4KrEm4EJzjJJhtnjLOx2ph,190960,3,1,Como Estaba Ahí Dios,"['argentine heavy metal', 'argentine metal', 'argentine rock', 'latin alternative', 'latin metal', 'rock en espanol', 'rock nacional']",Almafuerte,argentine rock
